ADD 	0000000
SUB 	0000010
MUL 	0000100
DIV 	0000110
MOV 	0001000000
INR	0001010000000
DCR	0001100000000
CMP	0000000000000
MVI	1000000000000
INX	0010000000
DCX	0010010000
ADDI	1000010000000
SUBI	1000100000000
MULI	1000110000000
DIVI	1001000000000
STORE	1001010000000
LOAD	1011000000000
LVI	1001110000
PRINT	0010100000000000
GZ	1010000000000000
GNZ	1010010000000000
GC	1010100000000000
GNC	1010110000000000
GOTO	1011000000000000
END	0010110000000000
A	000
RA	001
RB	010
RC	011
RD	100
RE	101
RF	110
RG	111
